ss_venue_id,name,url,year,volume
12162322-fe17-4fc9-ad8b-765a5472d33d,International Journal of Financial Studies,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-281817,2004,1
f0518e3f-2ce2-4ca7-9ea2-2cb5aa29cfc3,International Journal of Financial Studies,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-281817,1975,2
a3322176-de98-4c5d-ae9e-bd517c20feec,International Journal of Financial Studies,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-281817,1983,3
cc6148fa-492e-4af3-9fc0-7d78df4c24b6,International Journal of Financial Studies,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-281817,1993,4
8efd30fa-f14b-4e97-80f1-00ec3fd93805,Clinical Chemistry,http://www.clinchem.org/,2018,1
adcccd84-5384-4387-9b03-ac13d7a65245,Clinical Chemistry,http://www.clinchem.org/,2020,2
3a380e72-e857-45ed-ae9b-bac77b47b3e0,Clinical Chemistry,http://www.clinchem.org/,1996,3
4807a595-9170-4a2f-8098-f8927001263d,Clinical Chemistry,http://www.clinchem.org/,2001,4
3a342388-5892-44cf-a828-0a43c634227d,Molecular Informatics,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751,2007,1
4b661303-3a59-4dff-82cc-9ac025918d16,Molecular Informatics,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751,2000,2
2cc2fe4d-9264-4cb6-8700-600fa47043f4,Molecular Informatics,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751,1992,3
d7a24f8f-5ec1-4872-9d99-891b6e611a1b,International Journal of Pediatrics,http://www.hindawi.com/journals/ijped/,1972,1
514fd58d-eca6-46f3-958a-b689a09c069e,International Journal of Pediatrics,http://www.hindawi.com/journals/ijped/,2015,2
86f545ac-3178-4c21-b813-dd81bd62ae65,International Journal of Pediatrics,http://www.hindawi.com/journals/ijped/,1980,3
c98819d4-14e0-4a3a-a091-11cf8e63679e,International Journal of Pediatrics,http://www.hindawi.com/journals/ijped/,1994,4
758767ef-3ff6-46cb-8121-77901d42097b,Journal of Network and Systems Management,https://link.springer.com/journal/10922,2014,1
db07ce9a-a4e2-4ab1-896e-728e535ead10,Journal of Network and Systems Management,https://link.springer.com/journal/10922,1974,2
0291ce72-3b8c-425b-b8db-18605f05ff40,Journal of Network and Systems Management,https://link.springer.com/journal/10922,1977,3
98fef3dc-eb74-4bb0-a54c-e718ac0366cd,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,1997,1
97a6d048-5f06-4dff-9968-1daebf55e895,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,1982,2
8f5e3390-01e3-4897-84d7-5b8f60bb6e4d,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,1984,3
919a6285-95c8-4836-9e7a-2bdab11dab1b,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,2016,4
d09b380a-e850-4faf-a207-be6e75386589,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,2021,5
9ad182fa-89fc-4dd0-a374-1808af9b8334,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,2015,6
4fffb1bc-6691-4faf-9893-11932df011d7,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,1975,7
cc2771d6-8250-4833-846f-49b471787b88,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,1996,1
dd2a6bc1-8004-4bee-838e-200f25e1f68d,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,2019,2
b7439431-d4de-41ce-b923-e97c5e6ee8d9,Journal of Chemical Information and Modeling,http://pubs.acs.org/jcim,1987,3
