review_id,author_id
f3bd6e2e-2418-4735-9c64-52daab79e1f8,47682882
f3bd6e2e-2418-4735-9c64-52daab79e1f8,2059043
f3bd6e2e-2418-4735-9c64-52daab79e1f8,22134418
643770af-47be-4fb4-bd62-205fc25bc00b,145651668
643770af-47be-4fb4-bd62-205fc25bc00b,1730314
643770af-47be-4fb4-bd62-205fc25bc00b,1800404
643770af-47be-4fb4-bd62-205fc25bc00b,1394765173
643770af-47be-4fb4-bd62-205fc25bc00b,2806064
ca26d093-3b23-4bcf-82ef-f9707fcc7c80,1741158
ca26d093-3b23-4bcf-82ef-f9707fcc7c80,1700482
ca26d093-3b23-4bcf-82ef-f9707fcc7c80,2865522
0fcde89b-8e28-4231-8ec6-217aee5f0f7a,143634612
0fcde89b-8e28-4231-8ec6-217aee5f0f7a,51480852
0fcde89b-8e28-4231-8ec6-217aee5f0f7a,1703204
03782c9c-4805-4c05-b3e7-92c083d18348,1761581
03782c9c-4805-4c05-b3e7-92c083d18348,2794091
03782c9c-4805-4c05-b3e7-92c083d18348,1705486
03782c9c-4805-4c05-b3e7-92c083d18348,2368474
00be8000-ff8c-41d7-b8ad-eb645761a796,2275592032
00be8000-ff8c-41d7-b8ad-eb645761a796,8176724
00be8000-ff8c-41d7-b8ad-eb645761a796,1398510220
00be8000-ff8c-41d7-b8ad-eb645761a796,116879422
00be8000-ff8c-41d7-b8ad-eb645761a796,9808011
ed5a1e88-fca6-4d8e-bc05-ee6b4c62d4d5,2271397816
ed5a1e88-fca6-4d8e-bc05-ee6b4c62d4d5,1743133
ed5a1e88-fca6-4d8e-bc05-ee6b4c62d4d5,1773778
7bc0d17d-8e0f-45ab-ba9c-1e720924a48a,2113608835
7bc0d17d-8e0f-45ab-ba9c-1e720924a48a,2156211656
7bc0d17d-8e0f-45ab-ba9c-1e720924a48a,1978719
7bc0d17d-8e0f-45ab-ba9c-1e720924a48a,143882917
a3593107-6c44-401c-b927-dabd45ae1fe3,1743133
a3593107-6c44-401c-b927-dabd45ae1fe3,2619128
a3593107-6c44-401c-b927-dabd45ae1fe3,1747491
eabeb827-8e4e-4f91-9925-86ec075dcb23,1695958
eabeb827-8e4e-4f91-9925-86ec075dcb23,1713331
eabeb827-8e4e-4f91-9925-86ec075dcb23,3390886
b922355e-47da-451e-a8a8-8072e7613d95,144237889
b922355e-47da-451e-a8a8-8072e7613d95,2148536328
b922355e-47da-451e-a8a8-8072e7613d95,1718824
b922355e-47da-451e-a8a8-8072e7613d95,1802918
fdd6613b-6dbe-47d3-b76a-799d40b4a9bf,39592606
fdd6613b-6dbe-47d3-b76a-799d40b4a9bf,143906110
fdd6613b-6dbe-47d3-b76a-799d40b4a9bf,51437071
fdd6613b-6dbe-47d3-b76a-799d40b4a9bf,2607684
fdd6613b-6dbe-47d3-b76a-799d40b4a9bf,1682878
471e7da7-5c7d-4de3-ace4-b355ef23bc46,6989114
471e7da7-5c7d-4de3-ace4-b355ef23bc46,144989167
471e7da7-5c7d-4de3-ace4-b355ef23bc46,49914182
b2596f31-a780-4b2d-8a47-f64d9a48e217,1684379
b2596f31-a780-4b2d-8a47-f64d9a48e217,3007154
b2596f31-a780-4b2d-8a47-f64d9a48e217,1774336
b2596f31-a780-4b2d-8a47-f64d9a48e217,144823759
70da1e1c-40f7-4517-9350-c64d7294fc2a,8176724
70da1e1c-40f7-4517-9350-c64d7294fc2a,2275592032
70da1e1c-40f7-4517-9350-c64d7294fc2a,2474096
70da1e1c-40f7-4517-9350-c64d7294fc2a,144503029
70da1e1c-40f7-4517-9350-c64d7294fc2a,1723424
f6388ff6-1035-4d9e-aae5-17d28dc567b3,1744394
f6388ff6-1035-4d9e-aae5-17d28dc567b3,1751440
f6388ff6-1035-4d9e-aae5-17d28dc567b3,1748676
a448d06c-6fc0-40ce-9689-647fe03cbd88,40136108
a448d06c-6fc0-40ce-9689-647fe03cbd88,2787942
a448d06c-6fc0-40ce-9689-647fe03cbd88,144823759
a448d06c-6fc0-40ce-9689-647fe03cbd88,52615500
9228be8c-417c-4737-bb20-3b8e7f1d96fb,1742930
9228be8c-417c-4737-bb20-3b8e7f1d96fb,144504726
9228be8c-417c-4737-bb20-3b8e7f1d96fb,39592606
9228be8c-417c-4737-bb20-3b8e7f1d96fb,1743133
9228be8c-417c-4737-bb20-3b8e7f1d96fb,69974988
5c5de72a-cf17-47ec-9ce2-ec710d54a636,2552303
5c5de72a-cf17-47ec-9ce2-ec710d54a636,144064235
5c5de72a-cf17-47ec-9ce2-ec710d54a636,113134742
5c5de72a-cf17-47ec-9ce2-ec710d54a636,72091723
3c459c38-dcfc-4396-9389-8f45e8a8e011,49894422
3c459c38-dcfc-4396-9389-8f45e8a8e011,39385532
3c459c38-dcfc-4396-9389-8f45e8a8e011,50488319
3c459c38-dcfc-4396-9389-8f45e8a8e011,144527006
b5e9c319-3400-4659-9d2e-a1acc3f75974,1767692
b5e9c319-3400-4659-9d2e-a1acc3f75974,2120099756
b5e9c319-3400-4659-9d2e-a1acc3f75974,2708759
b5e9c319-3400-4659-9d2e-a1acc3f75974,1743133
b5e9c319-3400-4659-9d2e-a1acc3f75974,70359360
0a39d094-762a-4d6d-99bd-701c72f87f24,2068611376
0a39d094-762a-4d6d-99bd-701c72f87f24,46481106
